date,value
1924-01-01,295.000
1924-01-31,285.928
1924-03-01,299.850
1924-03-31,277.791
1924-04-30,271.728
1924-05-30,267.665
1924-06-29,307.538
1924-07-29,320.438
1924-08-28,312.374
1924-09-27,307.307
1924-10-27,290.273
1924-11-26,295.186
1924-12-26,293.118
1925-01-25,272.113
1925-02-24,298.950
1925-03-26,269.984
1925-04-25,280.872
1925-05-25,283.789
1925-06-24,316.569
1925-07-24,321.466
1925-08-23,311.435
1925-09-22,309.367
1925-10-22,289.399
1925-11-21,291.315
1925-12-21,295.218
1926-01-20,271.294
1926-02-19,292.089
1926-03-21,257.252
1926-04-20,274.068
1926-05-20,291.868
1926-06-19,313.630
1926-07-19,322.481
1926-08-18,312.480
1926-09-17,309.426
1926-10-17,289.518
1926-11-16,298.366
1926-12-16,301.264
1927-01-15,279.392
1927-02-14,310.026
1927-03-16,293.114
1927-04-15,309.870
1927-05-15,303.853
1927-06-14,324.556
1927-07-14,330.409
1927-08-13,325.381
1927-09-12,325.299
1927-10-12,300.504
1927-11-11,308.334
1927-12-11,308.256
1928-01-10,296.325
1928-02-09,313.038
1928-03-10,288.277
1928-04-09,296.100
1928-05-09,306.879
1928-06-08,340.343
1928-07-08,345.188
1928-08-07,339.184
1928-09-06,331.212
1928-10-06,310.433
1928-11-05,318.236
1928-12-05,317.170
1929-01-04,291.486
1929-02-03,310.118
1929-03-05,282.480
1929-04-04,302.088
1929-05-04,315.784
1929-06-03,348.159
1929-07-03,350.037
1929-08-02,342.084
1929-09-01,328.238
1929-10-01,314.400
1929-10-31,333.965
1929-11-30,326.024
1929-12-30,296.488
1930-01-29,318.006
1930-02-28,299.281
1930-03-30,311.958
1930-04-29,322.667
1930-05-29,352.000
1930-06-28,355.831
1930-07-28,351.820
1930-08-27,344.872
1930-09-26,328.132
1930-10-26,334.904
1930-11-25,322.091
1930-12-25,299.498
1931-01-24,324.862
1931-02-23,302.279
1931-03-25,318.828
1931-04-24,317.769
1931-05-24,346.035
1931-06-23,358.651
1931-07-23,353.674
1931-08-22,345.769
1931-09-21,329.081
1931-10-21,336.806
1931-11-20,330.864
1931-12-20,317.119
1932-01-19,336.548
1932-02-18,301.352
1932-03-19,307.125
1932-04-18,325.567
1932-05-18,360.565
1932-06-17,373.138
1932-07-17,365.250
1932-08-16,360.288
1932-09-15,334.884
1932-10-15,345.504
1932-11-14,336.658
1932-12-14,308.362
1933-01-13,338.430
1933-02-12,321.815
1933-03-14,335.340
1933-04-13,338.169
1933-05-13,369.170
1933-06-12,370.046
1933-07-12,366.067
1933-08-11,365.002
1933-09-10,337.734
1933-10-10,345.409
1933-11-09,333.680
1933-12-09,310.320
1934-01-08,336.416
1934-02-07,315.975
1934-03-09,332.367
1934-04-08,327.438
1934-05-08,349.629
1934-06-07,356.316
1934-07-07,365.904
1934-08-06,361.938
1934-09-05,335.723
1934-10-05,346.275
1934-11-04,337.483
1934-12-04,312.260
1935-01-03,346.007
1935-02-02,319.829
1935-03-04,326.508
1935-04-03,331.252
1935-05-03,361.097
1935-06-02,366.795
1935-07-02,363.805
1935-08-01,355.028
1935-08-31,333.717
1935-09-30,345.202
1935-10-30,325.832
1935-11-29,317.074
1935-12-29,334.334
1936-01-28,314.983
1936-02-27,322.605
1936-03-28,323.484
1936-04-27,356.125
1936-05-27,383.938
1936-06-26,370.370
1936-07-26,353.924
1936-08-25,337.487
1936-09-24,347.973
1936-10-24,344.038
1936-11-23,319.930
1936-12-23,341.938
1937-01-22,321.684
1937-02-21,334.080
1937-03-23,332.074
1937-04-22,358.853
1937-05-22,370.271
1937-06-21,368.256
1937-07-21,356.655
1937-08-20,328.766
1937-09-19,331.555
1937-10-19,331.468
1937-11-18,304.565
1937-12-18,343.743
1938-01-17,313.978
1938-02-16,318.681
1938-03-18,314.771
1938-04-17,350.079
1938-05-17,356.681
1938-06-16,350.852
1938-07-16,346.937
1938-08-15,322.004
1938-09-14,330.517
1938-10-14,339.025
1938-11-13,299.791
1938-12-13,327.394
1939-01-12,307.269
1939-02-11,320.544
1939-03-13,311.876
1939-04-12,345.167
1939-05-12,348.889
1939-06-11,344.033
1939-07-11,341.084
1939-08-10,311.468
1939-09-09,314.243
1939-10-09,319.872
1939-11-08,310.270
1939-12-08,320.656
1940-01-07,300.595
1940-02-06,314.781
1940-03-07,314.698
1940-04-06,341.230
1940-05-06,332.588
1940-06-05,338.200
1940-07-05,329.563
1940-08-04,311.436
1940-09-03,318.948
1940-10-03,298.935
1940-11-02,277.035
1940-12-02,305.417
1941-01-01,275.941
1941-01-31,286.296
1941-03-02,293.803
1941-04-01,312.675
1941-05-01,317.329
1941-05-31,315.351
1941-06-30,301.067
1941-07-30,288.683
1941-08-29,296.176
1941-09-28,284.746
1941-10-28,265.756
1941-11-27,285.541
1941-12-27,275.068
1942-01-26,280.665
1942-02-25,274.922
1942-03-27,293.740
1942-04-26,301.216
1942-05-26,299.248
1942-06-25,299.169
1942-07-25,279.276
1942-08-24,289.578
1942-09-23,278.185
1942-10-23,249.829
1942-11-22,282.750
1942-12-22,255.350
1943-01-21,274.122
1943-02-20,273.108
1943-03-22,291.865
1943-04-21,299.317
1943-05-21,291.710
1943-06-20,285.988
1943-07-20,268.043
1943-08-19,270.792
1943-09-18,260.380
1943-10-18,244.335
1943-11-17,264.939
1943-12-17,257.355
1944-01-16,270.432
1944-02-15,269.421
1944-03-16,289.058
1944-04-15,292.734
1944-05-15,287.028
1944-06-14,285.076
1944-07-14,264.375
1944-08-13,285.861
1944-09-12,266.108
1944-10-12,255.733
1944-11-11,267.839
1944-12-11,265.895
1945-01-10,275.184
1945-02-09,269.496
1945-03-11,294.683
1945-04-10,301.151
1945-05-10,296.395
1945-06-09,288.838
1945-07-09,275.678
1945-08-08,285.880
1945-09-07,280.200
1945-10-07,256.781
1945-11-06,280.983
1945-12-06,272.509
1946-01-05,278.034
1946-02-04,285.421
1946-03-06,303.995
1946-04-05,309.507
1946-05-05,306.628
1946-06-04,305.614
1946-07-04,286.902
1946-08-03,301.725
1946-09-02,278.369
1946-10-02,264.333
1946-11-01,284.733
1946-12-01,269.772
1946-12-31,271.560
1947-01-30,264.979
1947-03-01,274.202
1947-03-31,284.351
1947-04-30,294.493
1947-05-30,283.269
1947-06-29,272.979
1947-07-29,266.408
1947-08-28,257.984
1947-09-27,242.143
1947-10-27,255.062
1947-11-26,237.376
1947-12-26,250.290
1948-01-25,244.662
1948-02-24,245.523
1948-03-25,263.055
1948-04-24,262.984
1948-05-24,254.581
1948-06-23,248.959
1948-07-23,254.444
1948-08-22,239.575
1948-09-21,225.639
1948-10-21,246.841
1948-11-20,235.684
1948-12-20,240.240
